date,Team_Name,Average_Age
10/28/21,TORONTO RAPTORS,25.7
10/28/21,UTAH JAZZ,28.63
10/28/21,WASHINGTON WIZARDS,26.35
10/29/21,ATLANTA HAWKS,27.78
10/29/21,BOSTON CELTICS,25.8
10/29/21,BROOKLYN NETS,30.02
10/29/21,CHARLOTTE HORNETS,26.45
10/29/21,CHICAGO BULLS,25.76
10/29/21,CLEVELAND CAVALIERS,24.87
10/29/21,DALLAS MAVERICKS,27.54
10/29/21,DENVER NUGGETS,27.8
10/29/21,DETROIT PISTONS,24.97
10/29/21,GOLDEN STATE WARRIORS,28.58
10/29/21,HOUSTON ROCKETS,25.42
10/29/21,INDIANA PACERS,27.06
10/29/21,LOS ANGELES CLIPPERS,28.05
10/29/21,LOS ANGELES LAKERS,31.91
10/29/21,MEMPHIS GRIZZLIES,24.34
10/29/21,MIAMI HEAT,29.32
10/29/21,MILWAUKEE BUCKS,27.79
10/29/21,MINNESOTA TIMBERWOLVES,24.76
10/29/21,NEW ORLEANS PELICANS,25.51
10/29/21,NEW YORK KNICKS,26.9
10/29/21,OKLAHOMA CITY THUNDER,23.6
10/29/21,ORLANDO MAGIC,24.32
10/29/21,PHILADELPHIA 76ERS,26.15
10/29/21,PHOENIX SUNS,28.04
10/29/21,PORTLAND TRAIL BLAZERS,27.38
10/29/21,SACRAMENTO KINGS,26.34
10/29/21,SAN ANTONIO SPURS,25.68
10/29/21,TORONTO RAPTORS,25.7
10/29/21,UTAH JAZZ,28.63
10/29/21,WASHINGTON WIZARDS,26.35
10/30/21,ATLANTA HAWKS,27.78
10/30/21,BOSTON CELTICS,25.8
10/30/21,BROOKLYN NETS,30.02
10/30/21,CHARLOTTE HORNETS,26.45
10/30/21,CHICAGO BULLS,25.76
10/30/21,CLEVELAND CAVALIERS,25.13
10/30/21,DALLAS MAVERICKS,27.54
10/30/21,DENVER NUGGETS,27.8
10/30/21,DETROIT PISTONS,24.97
10/30/21,GOLDEN STATE WARRIORS,28.58
10/30/21,HOUSTON ROCKETS,25.42
10/30/21,INDIANA PACERS,27.06
10/30/21,LOS ANGELES CLIPPERS,28.05
10/30/21,LOS ANGELES LAKERS,31.91
10/30/21,MEMPHIS GRIZZLIES,24.34
10/30/21,MIAMI HEAT,29.32
10/30/21,MILWAUKEE BUCKS,27.79
10/30/21,MINNESOTA TIMBERWOLVES,24.76
10/30/21,NEW ORLEANS PELICANS,25.51
10/30/21,NEW YORK KNICKS,26.9
10/30/21,OKLAHOMA CITY THUNDER,23.6
10/30/21,ORLANDO MAGIC,24.32
10/30/21,PHILADELPHIA 76ERS,26.15
10/30/21,PHOENIX SUNS,28.04
10/30/21,PORTLAND TRAIL BLAZERS,27.38
10/30/21,SACRAMENTO KINGS,26.34
10/30/21,SAN ANTONIO SPURS,25.68
10/30/21,TORONTO RAPTORS,25.7
10/30/21,UTAH JAZZ,28.63
10/30/21,WASHINGTON WIZARDS,26.35
11/1/21,ATLANTA HAWKS,27.12
11/1/21,BOSTON CELTICS,26.06
11/1/21,BROOKLYN NETS,30.02
11/1/21,CHARLOTTE HORNETS,26.45
11/1/21,CHICAGO BULLS,25.68
11/1/21,CLEVELAND CAVALIERS,25.13
11/1/21,DALLAS MAVERICKS,27.54
11/1/21,DENVER NUGGETS,27.8
11/1/21,DETROIT PISTONS,24.62
11/1/21,GOLDEN STATE WARRIORS,28.58
11/1/21,HOUSTON ROCKETS,25.42
11/1/21,INDIANA PACERS,27.07
11/1/21,LOS ANGELES CLIPPERS,28.05
11/1/21,LOS ANGELES LAKERS,31.91
11/1/21,MEMPHIS GRIZZLIES,24.34
11/1/21,MIAMI HEAT,29.03
11/1/21,MILWAUKEE BUCKS,27.79
11/1/21,MINNESOTA TIMBERWOLVES,24.76
11/1/21,NEW ORLEANS PELICANS,25.51
11/1/21,NEW YORK KNICKS,26.9
11/1/21,OKLAHOMA CITY THUNDER,23.6
11/1/21,ORLANDO MAGIC,24.47
11/1/21,PHILADELPHIA 76ERS,26.15
11/1/21,PHOENIX SUNS,27.5
11/1/21,PORTLAND TRAIL BLAZERS,27.38
11/1/21,SACRAMENTO KINGS,26.34
11/1/21,SAN ANTONIO SPURS,25.68
11/1/21,TORONTO RAPTORS,25.7
11/1/21,UTAH JAZZ,28.63
11/1/21,WASHINGTON WIZARDS,26.35
11/2/21,ATLANTA HAWKS,27.12
11/2/21,BOSTON CELTICS,26.06
11/2/21,BROOKLYN NETS,30.02
11/2/21,CHARLOTTE HORNETS,26.45
11/2/21,CHICAGO BULLS,25.68
11/2/21,CLEVELAND CAVALIERS,25.13
11/2/21,DALLAS MAVERICKS,27.54
11/2/21,DENVER NUGGETS,27.8
11/2/21,DETROIT PISTONS,24.62
11/2/21,GOLDEN STATE WARRIORS,28.58
11/2/21,HOUSTON ROCKETS,25.42
11/2/21,INDIANA PACERS,27.01
11/2/21,LOS ANGELES CLIPPERS,28.05
11/2/21,LOS ANGELES LAKERS,31.91
11/2/21,MEMPHIS GRIZZLIES,24.34
11/2/21,MIAMI HEAT,29.03
11/2/21,MILWAUKEE BUCKS,27.79
11/2/21,MINNESOTA TIMBERWOLVES,24.76
11/2/21,NEW ORLEANS PELICANS,25.51
11/2/21,NEW YORK KNICKS,26.9
11/2/21,OKLAHOMA CITY THUNDER,23.6
11/2/21,ORLANDO MAGIC,24.47
11/2/21,PHILADELPHIA 76ERS,26.15
11/2/21,PHOENIX SUNS,27.5
11/2/21,PORTLAND TRAIL BLAZERS,27.62
11/2/21,SACRAMENTO KINGS,26.34
11/2/21,SAN ANTONIO SPURS,25.68
11/2/21,TORONTO RAPTORS,25.07
11/2/21,UTAH JAZZ,28.63
11/2/21,WASHINGTON WIZARDS,26.35
11/3/21,ATLANTA HAWKS,27.12
11/3/21,BOSTON CELTICS,26.06
11/3/21,BROOKLYN NETS,30.02
11/3/21,CHARLOTTE HORNETS,26.45
11/3/21,CHICAGO BULLS,25.68
11/3/21,CLEVELAND CAVALIERS,25.13
11/3/21,DALLAS MAVERICKS,27.1
11/3/21,DENVER NUGGETS,27.8
11/3/21,DETROIT PISTONS,24.62
11/3/21,GOLDEN STATE WARRIORS,28.58
11/3/21,HOUSTON ROCKETS,25.42
11/3/21,INDIANA PACERS,27.01
11/3/21,LOS ANGELES CLIPPERS,28.05
11/3/21,LOS ANGELES LAKERS,31.91
11/3/21,MEMPHIS GRIZZLIES,24.34
11/3/21,MIAMI HEAT,29.03
11/3/21,MILWAUKEE BUCKS,27.79
11/3/21,MINNESOTA TIMBERWOLVES,24.76
11/3/21,NEW ORLEANS PELICANS,25.51
11/3/21,NEW YORK KNICKS,26.9
11/3/21,OKLAHOMA CITY THUNDER,23.6
11/3/21,ORLANDO MAGIC,24.47
11/3/21,PHILADELPHIA 76ERS,26.15
11/3/21,PHOENIX SUNS,27.58
11/3/21,PORTLAND TRAIL BLAZERS,27.62
11/3/21,SACRAMENTO KINGS,26.34
11/3/21,SAN ANTONIO SPURS,25.68
11/3/21,TORONTO RAPTORS,25.07
11/3/21,UTAH JAZZ,28.63
11/3/21,WASHINGTON WIZARDS,26.35
11/4/21,ATLANTA HAWKS,27.12
11/4/21,BOSTON CELTICS,26.06
11/4/21,BROOKLYN NETS,30.02
11/4/21,CHARLOTTE HORNETS,26.45
11/4/21,CHICAGO BULLS,25.68
11/4/21,CLEVELAND CAVALIERS,25.13
11/4/21,DALLAS MAVERICKS,27.1
11/4/21,DENVER NUGGETS,27.8
11/4/21,DETROIT PISTONS,24.62
11/4/21,GOLDEN STATE WARRIORS,28.58
11/4/21,HOUSTON ROCKETS,25.42
11/4/21,INDIANA PACERS,27.01
11/4/21,LOS ANGELES CLIPPERS,28.05
11/4/21,LOS ANGELES LAKERS,31.91
11/4/21,MEMPHIS GRIZZLIES,24.34
11/4/21,MIAMI HEAT,29.03
11/4/21,MILWAUKEE BUCKS,27.79
11/4/21,MINNESOTA TIMBERWOLVES,24.56
11/4/21,NEW ORLEANS PELICANS,25.65
11/4/21,NEW YORK KNICKS,26.95
11/4/21,OKLAHOMA CITY THUNDER,23.6
11/4/21,ORLANDO MAGIC,24.47
11/4/21,PHILADELPHIA 76ERS,26.15
11/4/21,PHOENIX SUNS,27.58
11/4/21,PORTLAND TRAIL BLAZERS,27.62
11/4/21,SACRAMENTO KINGS,26.34
11/4/21,SAN ANTONIO SPURS,25.68
11/4/21,TORONTO RAPTORS,25.07
11/4/21,UTAH JAZZ,28.63
11/4/21,WASHINGTON WIZARDS,26.35
11/5/21,ATLANTA HAWKS,27.12
11/5/21,BOSTON CELTICS,26.06
11/5/21,BROOKLYN NETS,30.02
11/5/21,CHARLOTTE HORNETS,26.45
11/5/21,CHICAGO BULLS,25.68
11/5/21,CLEVELAND CAVALIERS,25.13
11/5/21,DALLAS MAVERICKS,27.1
11/5/21,DENVER NUGGETS,27.8
11/5/21,DETROIT PISTONS,24.62
11/5/21,GOLDEN STATE WARRIORS,28.58
11/5/21,HOUSTON ROCKETS,25.42
11/5/21,INDIANA PACERS,27.01
11/5/21,LOS ANGELES CLIPPERS,28.05
